What's the square root of $-5 + 12i$|the answer is $\pm (2 + 3i$|easy|2 + 3i|-2 - 3i|2 - 3i|-2 + 3i|2 + 3i|-2 - 3i
What's the quadratic equation whose one root is a square root of $7 - 30\sqrt{-2}$|the answer is $x^{2} \pm 10x + 43$|easy|$x^{2} + 10x + 43$|$x^{2} - 10x + 43$|$x^{2} + 10x - 43$|$x^{2} - 10x - 43$|$x^{2} - 10x + 43$|$x^{2} + 10x + 43$
What's the value of $\frac{\sqrt{5 + 12i} + \sqrt{5 - 12i}}{\sqrt{5 + 12i} - \sqrt{5 - 12i}}$?|the answer is $\frac{-3i}{2}$|medium|$\frac{-3i}{2}$|$\frac{3i}{2}$|$\frac{-5i}{2}$|$\frac{5i}{2}$|$\frac{-3i}{2}$
$(1 - \omega + \omega^{2})(1 - \omega^{2} + \omega^{4})(1 - \omega^{4} + \omega^{8})\cdots$ to 2n factors is|the answer is $2^{2n}$|medium|2^{2n}|2^{n}|2|2^{3n}|2^{2n}
If z is the root of the equation $z + \frac{1}{z}= 1$, then $z^{14} + \frac{1}{z^{14}$ is|the answer is -1|medium|-1|2|0|1|-1
The value of $\left(\frac{1 + \sqrt{3}}{2}\right)^{300} + \left(\frac{1 - \sqrt{3}}{2}\right)^{300}$|the answer is -1|medium|-1|2|0|1|-1
$x^{3p} + x^{3q + 1} + x^{3r + 2}$ where p, q, r are positive integer is divible by $x^{2} + x + 1$|the answer is True|medium|True|False|can't be determined|insufficient information|True
$x^{4p} + x^{4q + 1} + x^{4r + 2} + 4^{4s + 3$ where p, q, r, s are positive integer is divible by $x^{3} + x^{2} + x + 1$|the answer is True|medium|True|False|can't be determined|insufficient information|True
The value of $(x + y)^{2} + (x\omega + y\omega^{2})^{2} + (x\omega^{2} + y\omega)^{2}$ is|the answer is 6xy|medium|6xy|xy|3xy|none of these|6xy
If p= a + b + c, q= $a + b\omega + c\omega^{2}$, r= $a + b\omega^{2} + c\omega$, where $\omega$ is a non real root of unity then $p^{3} + q^{3} + r^{3} - 3pqr$ is|the answer is 27abc|medium|27abc|15abc|10abc|none of these|27abc
If Omega is an imaginary root of unity, then the value of $(a + b\omega + c\omega^{2})^{3} + (a + b\omega^{2} + c\omega)^{3}$ is|the answer is (2a - b- c)(2b - a - c)(2c - a - b)|medium|(2a - b - c)(2b - a - c)(2c - a - b)|(a - b - c)(b - a - c)(c - a - b)|(2a + b + c)(2b + a + c)(2c + a + b)|(a + b + c)(b + a + c)(c + a + b)|(2a + b + c)(2b + a + c)(2c + a + b)
If Omega is an imaginary root of unity and a + b + c= 0, then the value of $(a + b\omega + c\omega^{2})^{3} + (a + b\omega^{2} + c\omega)^{3}$ is|the answer is 27abc|medium|27abc|19abc|9abc|3abc|27abc
If Omega is an imaginary root of unity and x= $(a + b\omega + c\omega^{2})^{3}$ and y= $(a + b\omega^{2} + c\omega)^{3}$ then the value of $$x^{3} + y^{3}$ is|the answer is (2a - b- c)(2b - a - c)(2c - a - b)|medium|(2a - b - c)(2b - a - c)(2c - a - b)|(a - b - c)(b - a - c)(c - a - b)|(2a + b + c)(2b + a + c)(2c + a + b)|(a + b + c)(b + a + c)(c + a + b)|(2a + b + c)(2b + a + c)(2c + a + b)
If Omega is an imaginary root of unity and a + b + c= 0 and x= $(a + b\omega + c\omega^{2})^{3}$ and y= $(a + b\omega^{2} + c\omega)^{3}$ then the value of $$x^{3} + y^{3}$ is|the answer is 27abc|medium|27abc|19abc|9abc|3abc|27abc
If ax + by + cz= X, cx + ay + bz= Y, bx + cy + az= Z then the value of $(a^{2} + b^{2} + c^{2} - ab - bc - ac)(x^{2} + y^{2} + z^{2} - xy - yz - za)$ is|the answer is $X^{2} + Y^{2} + Z^{2} - XY - YZ - ZX$|medium|$X^{2} + Y^{2} + Z^{2} - XY - YZ - ZX$|$X^{2} + Y^{2} + Z^{2} + XY + YZ + ZX$|$X^{3} + Y^{3} + Z^{3} - XY - YZ - ZX$|$X^{3} + Y^{3} + Z^{3} + XY + YZ + ZX$|$X^{2} + Y^{2} + Z^{2} - XY - YZ - ZX$
If ax + by + cz= X, cx + ay + bz= Y, bx + cy + az= Z then the value of $(a^{3} + b^{3} + c^{3} - 3abc)(x^{3} + y^{3} + z^{3} - 3xyz)$|the answer is $X^{3} + Y^{3} + Z^{3} - 3XYZ$|medium|$X^{3} + Y^{3} + Z^{3} - 3XYZ$|$X^{3} + Y^{3} + Z^{3} + 3XYZ$|$X^{2} + Y^{2} + Z^{2} - 3XYZ$|$X^{2} + Y^{2} + Z^{2} + 3XYZ$|$X^{2} + Y^{2} + Z^{2} - 3XYZ$
for any two complex numbers $z_{1}$ and $z_{2}$ and real numbers a and b then $\lvert az_{1} - bz_{2}\rvert$ + $\lvert az_{1} + bz_{2}\rvert$|the answer is $(a^{2} + b^{2})(\lvert z_{1}^{2} \rvert + \lvert z_{2}^{2} \rvert)$|medium|$(a^{2} + b^{2})(\lvert z_{1}^{2} \rvert + \lvert z_{2}^{2} \rvert)$|$(a^{2} - b^{2})(\lvert z_{1}^{2} \rvert + \lvert z_{2}^{2} \rvert)$|$(a^{2} + b^{2})(\lvert z_{1}^{2} \rvert - \lvert z_{2}^{2} \rvert)$|none of these|$(a^{2} + b^{2})(\lvert z_{1}^{2} \rvert + \lvert z_{2}^{2} \rvert)$
If $\alpha$ and $\beta$ are two complex numbers then the value of $\lvert \alpha + \beta \rvert$ is|the answer is $\lvert \alpha^{2} \rvert + \lvert \beta^{2} \rvert + Re(\alpha\cdot \overline{\beta}) + Re(\beta\cdot \overline{\alpha})$|medium|$\lvert \alpha^{2} \rvert + \lvert \beta^{2} \rvert + Re(\alpha\cdot \overline{\beta}) + Re(\beta\cdot \overline{\alpha})$|$\lvert \alpha^{2} \rvert + \lvert \beta^{2} \rvert + Re(\alpha\cdot \overline{\beta}) = Re(\beta\cdot \overline{\alpha})$|$\lvert \alpha^{2} \rvert - \lvert \beta^{2} \rvert + Re(\alpha\cdot \overline{\beta}) Re(\beta\cdot \overline{\alpha})$|none of these|$\lvert \alpha^{2} \rvert + \lvert \beta^{2} \rvert + Re(\alpha\cdot \overline{\beta}) + Re(\beta\cdot \overline{\alpha})$
Find the integral solution of $(3 + 4i)^{x}= 5^{\frac{x}{2}}$|the answer is 0|medium|0|1|2|3|0
Find the integral solution of $(1 - i)^{x}= 2^{x}$|the answer is 0|medium|0|1|2|3|0
Find the integral solution of $(1 - i)^{x}= (1 + i)^{x}$|the answer is 4n n $\in$ I|medium|4n n $\in$ I|3n n $\in$ I|2n n $\in$ I|n, n $\in$ I|4n n $\in$ I
If $\lvert z \rvert \lt 4$, then $\lvert iz + 3 - 4i \rvert$|the answer is $\lt 9$|medium|$\lt 9$|$\leq 9$|$\gt 9$|$\geq 9$|$\lt 9$
If $\lvert z - 1 \rvert \lt 3$, then $\lvert iz + 3 - 5i \rvert$|the answer is $\lt 8$|medium|$\lt 8$|$\leq 8$|$\gt 8$|$\geq 8$|$\lt 8$
$\lvert 1 - \p\overline{z_1}z_{2} \rvert^{2}$ - $\lvert z_{1} - z_{2} \rvert^{2}$ is equal to|the answer is $(1 - \lvert z_{1} \rvert^{2})(1 - \lvert z_{2} \rvert^{2})$|medium|$(1 - \lvert z_{1} \rvert^{2})(1 - \lvert z_{2} \rvert^{2})$|$(1 + \lvert z_{1} \rvert^{2})(1 + \lvert z_{2} \rvert^{2})$|$(1 - \lvert z_{1} \rvert^{2})(1 + \lvert z_{2} \rvert^{2})$|$(1 + \lvert z_{1} \rvert^{2})(1 - \lvert z_{2} \rvert^{2})$|$(1 - \lvert z_{1} \rvert^{2})(1 - \lvert z_{2} \rvert^{2})$
If $a_{i}, b_{i} \in R$ $i= 1, 2, 3\cdots n$ then $\left(\sum_{i= 1}^{n} a_{i}\right)^{2}$ + $\left(\sum_{i= 1}^{n} b_{i}\right)^{2}$ is|the answer is $\leq \left(\sum_{i= 1}^{n} \sqrt{a_{i}^{2} + b_{i}^{2}}\right)^{2}$|medium|$\leq \left(\sum_{i= 1}^{n} \sqrt{a_{i}^{2} + b_{i}^{2}}\right)^{2}$|$\lt \left(\sum_{i= 1}^{n} \sqrt{a_{i}^{2} + b_{i}^{2}}\right)^{2}$|$\geq \left(\sum_{i= 1}^{n} \sqrt{a_{i}^{2} + b_{i}^{2}}\right)^{2}$|$\gt \left(\sum_{i= 1}^{n} \sqrt{a_{i}^{2} + b_{i}^{2}}\right)^{2}$|$\leq \left(\sum_{i= 1}^{n} \sqrt{a_{i}^{2} + b_{i}^{2}}\right)^{2}$
Find principle value of $\left(arg\frac{3i}{-1 - i}\right)$|the answer is $-\frac{3\pi}{4}$|easy|$-\frac{3\pi}{4}$|$\frac{3\pi}{4}$|$\frac{5\pi}{4}$|$-\frac{5\pi}{4}$|$-\frac{3\pi}{4}$
Let $\lvert \frac{\overline{z_{1}} - 2\overline{z_{2}}}{2 - z_{1}\overline{z_{2}}} \rvert= 1$ and $\lvert z_{2} \rvert \neq 1$ then $\lvert z_{1} \rvert$ equals|the answer is 2|medium|1|2|3|4|2
If $\lvert \frac{z_{1} - z_{2}}{1 - \overline{z_{1}}z_{2}} \rvert \lt 1$ then|the answer is $z_{2} \lt 1$|medium|$z_{2} \lt 1$|$z_{2} \leq 1$|$z_{2} \gt 1$|$z_{2} \geq 1$|$z_{2} \lt 1$
If $z_{1}$ and $z_{2}$ are complex numbers and $u= \sqrt{z_{1}\cdot z_{2}$, then $\lvert z_{1} \rvert$ + $\lvert z_{2} \rvert$|the answer is $\lvert\frac{z_{1} + z_{2}}{2} + u\rvert + \lvert\frac{z_{1} + z_{2}}{2} + u\rvert$|medium|$\lvert\frac{z_{1} + z_{2}}{2} + u\rvert + \lvert\frac{z_{1} + z_{2}}{2} + u\rvert$|$\lvert\frac{z_{1} + z_{2}}{2} + u^{2}\rvert + \lvert\frac{z_{1} + z_{2}}{2} + u^{2}\rvert$|both of these|none of these|$\lvert\frac{z_{1} + z_{2}}{2} + u\rvert + \lvert\frac{z_{1} + z_{2}}{2} + u\rvert$
If $z_{1}$ and $z_{2}$ are the root of the equation $\alpha z^{2} + 2\beta z + \gamma= 0$ then|the answer is $\lvert \alpha \rvert(\lvert z_{1} + z_{2} \rvert)$= $\lvert \beta + \sqrt{\alpha \gamma}\rvert \lvert \beta - \sqrt{\alpha \gamma}\rvert$|medium|$\lvert \alpha \rvert(\lvert z_{1} + z_{2} \rvert)$= $\lvert \beta + \sqrt{\alpha \gamma}\rvert \lvert \beta - \sqrt{\alpha \gamma}\rvert$|$\lvert \alpha \rvert(\lvert z_{1} + z_{2} \rvert)$= $\lvert \beta + \sqrt{\alpha \gamma}\rvert - \lvert \beta - \sqrt{\alpha \gamma}\rvert$|both of these|none of these|$\lvert \alpha \rvert(\lvert z_{1} + z_{2} \rvert)$= $\lvert \beta + \sqrt{\alpha \gamma}\rvert \lvert \beta - \sqrt{\alpha \gamma}\rvert$
If a, b, c are complex numbers such that a + b + c= 0 and \lvert a \rvert = \lvert b \rvert = \lvert c \rvert = 1, then the value of $\frac{1}{a} + \frac{1}{b} + \frac{1}{c}$ is|the answer is 0|medium|0|1|2|3|0
If $\lvert z + 4 \rvert \leq 3$, find the least and greatest value of \lvert z + 1 \rvert|the answer is 0 and 6 respectively|medium|0 and 6 respectively|0 and 10 respectively|0 and 5 respectively|1 and 6 respectively|0 and 6 respectively
If z is a complex number such that $z^{4} + z + 2$= 0,then|the answer is $\lvert z \rvert \lt 1$|medium|$\lvert z \rvert \lt 1$|$\lvert z \rvert \lt 2$|$\lvert z \rvert \lt 3$|none of these|$\lvert z \rvert \lt 1$
If $z_{1}$ and $z_{2}$ are two non zero complex numbers then $(\lvertz_{1}\rvert + \lvertz_{2}\rvert)\lvert\frac{z_{1}}{\lvertz_{1}\rvert} + \frac{z_{2}}{\lvertz_{2}\rvert}\rvert$|the answer is $\leq 2\lvertz_{1} + z_{2}\rvert$|medium|$\leq 2\lvertz_{1} + z_{2}\rvert$|$\leq 2\lvertz_{1} - z_{2}\rvert$|$\leq \lvertz_{1} + z_{2}\rvert$|$\leq \lvertz_{1} - z_{2}\rvert$|$\leq 2\lvertz_{1} + z_{2}\rvert$
The necessary and sufficient condition for the equation $z^{2} + az + b$ to be of unit modulus are|the answer is $\lvert a \rvert \leq 2$, \lvert b \rvert= 1, arg b= 2arg a|medium|$\lvert a \rvert \leq 2$, \lvert b \rvert= 1, arg b= 2arg a|$\lvert a \rvert \leq 2$, \lvert b \rvert= 1, arg b= arg a|none of these|both of these|$\lvert a \rvert \leq 2$, \lvert b \rvert= 1, arg b= 2arg a
If z is a complex number then|the answer is $\lvert z \rvert \leq \lvert Re(z) + Im(z)\rvert \leq \sqrt{2}z$|medium|$\lvert z \rvert \leq \lvert Re(z) + Im(z)\rvert \leq \sqrt{2}z$|$\lvert z \rvert \lt \lvert Re(z) + Im(z)\rvert \lt \sqrt{2}z$|$\lvert z \rvert \geq \lvert Re(z) + Im(z)\rvert \geq \sqrt{2}z$|$\lvert z \rvert \gt \lvert Re(z) + Im(z)\rvert \gt \sqrt{2}z$|$\lvert z \rvert \leq \lvert Re(z) + Im(z)\rvert \leq \sqrt{2}z$
The smallest distance from the origin of the co-ordinates satisfying $\lvertz + \frac{1}{z}\rvert= 2$|the answer is $\sqrt{2} -1$|medium|$\sqrt{2} - 1$|$\sqrt{2} + 1$|1|2|$\sqrt{2} - 1$
If $\lvert z - \frac{4}{z}\rvert= 2$, then the greaest value of \lvert z \rvert is|the answer is $\sqrt{5} + 1$|medium|$\sqrt{5} + 1$|$\sqrt{5} - 1$|$\sqrt{2} - 1$|$\sqrt{2} - 1$|$\sqrt{5} + 1$
If z is a complex number such that $\lvertz + \frac{1}{z}\rvert= 1$, when z attains its greatest value z is|the answer is purely imaginary|medium|purely real|purely imaginary|none of these|both real and imaginary part|purely imaginary
If $(a_{1} + ib_{1})(a_{2} + ib_{2})(a_{3} + ib_{3}\cdots (a_{n} + ib_{n})= A + iB$, then (a_{1}^{2} + b_{1}^{2})(a_{2}^{2} + b_{2}^{2})(a_{3}^{n} + b_{3}^{2})\cdots (a_{n}^{2} + b_{n}^{2})|the answer is $A^{2} + B^{2}$|medium|$A^{2} + B^{2}$|$A^{2} - B^{2}$|$A^{3} + B^{3}$|$A^{3} - B^{3}$|$A^{2} + B^{2}$
If $(1 + i)(1 + i2)(1 + i3)\cdots (1 + in)= x + iy$, then 2\cdot 5\cdot 10\cdots (1 + n^{2})= |the answer is $x^{2} + y^{2}$|medium|$x^{2} + y^{2}$|$x^{2} - y^{2}$|$x^{3} + y^{3}$|$x^{3} - y^{3}$|$x^{2} + y^{2}$
If $x + iy$= $\frac{a + i}{a - i}$ $x, y, a \in R$, then ay - 1|the answer is x|medium|x|$x^{2}$|$x^{3}$|none of these|x
The value of $\lvert\frac{z - 1}{1 - \overline{z}}\rvert$, when z is a complex number|the answer is 1|medium|1|2|3|4|1
If $(1 + x)^{n}= a_{0} + a_{1}x^{1} + a_{2}x_{2} + a_{3}x^{3}\cdots a_{n}x^{n}$ then $(a_{0} - a_{2} + a_{4} -\cdots)^{2} + (a_{1} - a_{3} +\cdots)^{2}$|the answer is $2^{n}$|medium|$2^{n}$|$a_{0} + a_{1} + a_{2}\cdots + a_{n}$|$2^{n - 1}$|none of these|$2^{n}$|$a_{0} + a_{1} + a_{2}\cdots + a_{n}$
If $\alpha,/;\beta,/;\gamma,/;\delta$ are the real roots of equation $ax^{4} + bx^{3} + cx^{2} + dx + e= 0$, then $a^{2}(1 + \alpha^{2})(1 + \beta^{2})(1 + \gamma^{2})(1 + \delta^{2})|the answer is  $(a - c + e)^2 + (b - d)^{2}$|medium|$(a + c + e)^2 + (b + d)^{2}$|(a - c + e)^2 + (b - d)^{2}$|(a - c + e)^2 - (b - d)^{2}$|none of these|(a - c + e)^2 + (b - d)^{2}$
If $a_{i} \in R$ and $i= 1, 2, 3\cdots$ and $\alpha_{1},\alpha_{2}\cdots \alpha_{n}$ are the roots of the equation $x^{n} + a_{1}x^{n - 1} + a_{2}x^{n - 2}\cdots a_{n - 1}x + a_{n}$= 0 then the value of $\Pi_{i=1}^{n}(1 + \alpha_{i}^{2})$|the answer ia $(1 - a_{2} + a_{4}\cdots)(a_{1} - a_{3} + a_{5}\cdots)$|medium|$(1 - a_{2} + a_{4}\cdots)(a_{1} - a_{3} + a_{5}\cdots)$|$(1 + a_{2} + a_{4}\cdots)(a_{1} - a_{3} + a_{5}\cdots)$|$(1 - a_{2} + a_{4}\cdots)(a_{1} + a_{3} + a_{5}\cdots)$|none of these|$(1 - a_{2} + a_{4}\cdots)(a_{1} - a_{3} + a_{5}\cdots)$
If $x= \frac{3 + 5i}{2}$, find the value of $2x^{3} + 2x^{2} - 7x + 72$, will it be unaltered if $x= \frac{3 - 5i}{2}$|the answer is 0, yes|easy|0, yes|1, yes|1, no|0,no|0, yes
If $x= 3 + 2i$ is a root of the equation $x^{4} - 4x^{3} + 4x^{2} + 8x + 39$.What are it's other roots?|the answer is 3 - 2i, -1 + \sqrt{2}i,  -1 - \sqrt{2}i|easy|3 - 2i|-1 - \sqrt{2}i|-1 + \sqrt{2}i|all of these|all of these
If $x= 2 + \sqrt{-3}$ is a root of the equation $x^{4} - 4x^{2} + 8x + 35$.What are it's other roots?|the answer is $2 - \sqrt{-3}$, -2 + i, -2 - i$|easy|$2 - \sqrt{-3}$|-2 + i|-2 - i|all of these|all of these
If complex number $z_{1}, z_{2}, z_{3}$ are the vertices of an equilsteral triangle, Such that $\lvert z_{1}\rvert= \lvert z_{2} \rvert= \lvert z_{3} \rvert$, then|the answer is $z_{1} + z_{2} + z_{3}= 0$|medium|$z_{1} + z_{2} + z_{3}= 0$|$z_{1} - z_{2} + z_{3}= 0$|$z_{1} + z_{2} - z_{3}= 0$|$z_{1} - z_{2} - z_{3}= 0$|$z_{1} + z_{2} + z_{3}= 0$
If $z_{1} + z_{2} + z_{3}= 0$ and $\lvert z_{1}\rvert= \lvert z_{2} \rvert= \lvert z_{3} \rvert$ the pounts are the vertices of|the answer is an equilateral triangle|medium|equilateral triangle|isosceles triangle|scalene triangle|insufficient info|equilateral triangle
If $z_{1}, z_{2}, z_{3}$ be the vertices of an equilatral triangle in the Argand plane whose circumcentre is $z_{0}$, then|the answer is $z_{1}^{2} + z_{2}^{2} + z_{3}^{2}= 3\cdot z_{0}^{2}$|medium|$z_{1}^{2} + z_{2}^{2} + z_{3}^{2}= 3\cdot z_{0}^{2}$|$z_{1}^{2} + z_{2}^{2} + z_{3}^{2}= z_{0}^{2}$|$z_{1}^{2} + z_{2}^{2} + z_{3}^{2}= 0$|none of these|$z_{1}^{2} + z_{2}^{2} + z_{3}^{2}= 3\cdot z_{0}^{2}$
If $z_{1}^{2} + z_{2}^{2} - z_{1}\cdot z_{2}= 0$, then the complex number $z_{1}, z_{2}$ and origin form an|the answer is equilateral triangle|medium|equilateral triangle|isosceles triangle|scalene triangle|insufficient info|equilateral triangle
If $z_{1}$ and $z_{2}$ are the roots of the equation $z^{2} + az + b= 0$, then origin and $z_{1}$ and $z_{2}$ form an equilateral triangle if|the answer is $a^{2} - 3b= 0$|medium|$a^{2} - 3b= 0$|$a^{2} + 3b= 0$|$a^{2} - b= 0$|$a^{2} + b= 0$|$a^{2} - 3b= 0$
The roots $z_{1}, z_{2}, z_{3}$ of the equation $z^{3} + 3\alpha z^{2} + 3\beta z + \gamma= 0$ where $\alpha,\beta,\gamma$ are complex numbers, represent the vertices A, B, C  of the triangle.The centroid of this triangle is|the answer is $-\alpha$|medium|$-\alpha$|$3\alpha$|$\beta + \alpha$|none of these|$-\alpha$
